queue_ns,network_ns,total_ns
202,96356,96558
211,97644,97855
265,96474,96739
177,97073,97250
251,106291,106542
251,100896,101147
153,104188,104341
192,97781,97973
251,101200,101451
221,98361,98582
251,97604,97855
182,98075,98257
192,111776,111968
270,102936,103206
221,111368,111589
261,111873,112134
211,111314,111525
202,95874,96076
192,101938,102130
221,94076,94297
163,131175,131338
231,94016,94247
202,97412,97614
221,91649,91870
182,95265,95447
241,100120,100361
124,105161,105285
231,96847,97078
182,95137,95319
192,118537,118729
142,98273,98415
5833,102587,108420
191,103889,104080
211,105579,105790
241,99309,99550
182,123982,124164
182,101446,101628
181,88327,88508
122,97221,97343
202,94861,95063
182,111402,111584
162,96100,96262
181,97604,97785
182,90017,90199
172,96994,97166
182,87206,87388
191,97574,97765
191,93712,93903
172,102813,102985
133,98046,98179
192,94449,94641
181,100690,100871
142,89074,89216
212,96070,96282
202,92159,92361
2600,103903,106503
222,94242,94464
192,107127,107319
182,97132,97314
182,88621,88803
181,93300,93481
271,100110,100381
191,90145,90336
192,93210,93402
181,98892,99073
172,93182,93354
221,107491,107712
280,109024,109304
192,96159,96351
181,90675,90856
172,100228,100400
192,97644,97836
192,97599,97791
192,96783,96975
182,100385,100567
182,94626,94808
123,102941,103064
182,170349,170531
162,98027,98189
182,104228,104410
202,92552,92754
162,97014,97176
202,99392,99594
181,101506,101687
156,104542,104698
192,97328,97520
182,96415,96597
212,98626,98838
182,103874,104056
2580,96916,99496
192,88945,89137
171,100051,100222
182,100021,100203
182,96975,97157
182,93074,93256
192,110075,110267
172,94498,94670
191,87678,87869
191,95324,95515
183,95883,96066
181,96169,96350
191,94823,95014
192,96552,96744
182,93162,93344
192,111393,111585
182,95461,95643
192,96808,97000
172,90961,91133
133,89958,90091
182,94842,95024
152,102104,102256
192,126517,126709
182,97024,97206
182,96267,96449
182,107117,107299
182,130153,130335
183,97417,97600
124,99362,99486
192,98586,98778
142,88661,88803
162,100995,101157
183,90203,90386
182,97310,97492
182,95746,95928
241,96287,96528
192,92798,92990
192,103166,103358
2688,51247,53935
163,97329,97492
182,105731,105913
182,104060,104242
133,100218,100351
182,105102,105284
192,86990,87182
182,108522,108704
172,109544,109716
181,99363,99544
211,104081,104292
221,108012,108233
113,100808,100921
191,99687,99878
192,91904,92096
192,105751,105943
182,101388,101570
172,114596,114768
202,104375,104577
192,101811,102003
231,91746,91977
192,88768,88960
339,110655,110994
211,89064,89275
192,98213,98405
192,98125,98317
212,93447,93659
182,99206,99388
191,103176,103367
192,94754,94946
181,95078,95259
181,98813,98994
171,92032,92203
132,95462,95594
133,95255,95388
192,104208,104400
173,90724,90897
201,105515,105716
182,98213,98395
182,97505,97687
192,94547,94739
182,93801,93983
191,100592,100783
192,89102,89294
241,103058,103299
172,99963,100135
3867,96434,100301
182,98734,98916
197,96965,97162
181,110862,111043
192,112257,112449
192,90125,90317
183,92365,92548
181,97928,98109
182,99304,99486
182,95196,95378
192,114586,114778
182,110508,110690
182,97997,98179
26982,98950,125932
191,95029,95220
183,93466,93649
182,107284,107466
192,99628,99820
192,95923,96115
133,94989,95122
182,95923,96105
192,90665,90857
192,103264,103456
192,90626,90818
211,100149,100360
192,99736,99928
132,96916,97048
162,100317,100479
192,100984,101176
182,92287,92469
123,100749,100872
192,97928,98120
202,101762,101964
202,102301,102503
192,96218,96410
182,103225,103407
181,89319,89500
162,98096,98258
398,101545,101943
182,105378,105560
2511,98597,101108
172,94704,94876
182,96651,96833
132,99747,99879
132,108376,108508
192,99461,99653
212,108384,108596
192,96130,96322
123,100562,100685
133,96424,96557
182,107334,107516
181,101998,102179
182,94204,94386
222,98817,99039
123,115628,115751
182,93004,93186
192,101505,101697
172,92926,93098
182,101673,101855
221,102907,103128
122,99693,99815
162,104110,104272
167,94071,94238
172,103633,103805
187,100941,101128
172,99201,99373
187,106602,106789
130,103879,104009
156,93442,93598
201,98376,98577
123,97132,97255
172,100036,100208
177,94149,94326
177,96695,96872
177,122562,122739
221,47641,47862
177,99112,99289
177,98483,98660
181,99934,100115
172,100272,100444
186,97933,98119
107,91143,91250
196,105825,106021
192,99884,100076
167,96219,96386
186,97806,97992
181,96745,96926
182,101255,101437
177,98262,98439
167,92056,92223
182,106906,107088
186,102558,102744
196,95723,95919
152,98430,98582
177,95928,96105
166,108469,108635
177,105476,105653
236,100961,101197
158,91653,91811
157,97221,97378
177,99643,99820
177,89251,89428
167,95029,95196
177,97383,97560
166,145706,145872
221,94852,95073
186,101757,101943
186,94042,94228
186,106267,106453
177,96666,96843
176,108312,108488
171,93944,94115
2584,89831,92415
196,98307,98503
206,97919,98125
187,108193,108380
176,106838,107014
172,109510,109682
113,98370,98483
177,101864,102041
177,102341,102518
187,122640,122827
171,129672,129843
137,61507,61644
172,98150,98322
177,118306,118483
177,98385,98562
156,97782,97938
177,104322,104499
176,108154,108330
162,95054,95216
103,100366,100469
187,96154,96341
176,95359,95535
187,97215,97402
176,93993,94169
177,102709,102886
187,97049,97236
201,104381,104582
265,95859,96124
196,106198,106394
196,100106,100302
197,108399,108596
162,98637,98799
187,106670,106857
177,93295,93472
167,99339,99506
197,102356,102553
127,104460,104587
107,101890,101997
5071,97796,102867
186,96804,96990
177,96026,96203
187,101516,101703
172,99128,99300
235,92302,92537
118,99908,100026
162,101540,101702
176,102523,102699
168,94483,94651
187,95093,95280
148,109486,109634
176,106700,106876
186,101727,101913
187,120729,120916
172,99024,99196
196,103638,103834
167,93280,93447
186,117766,117952
177,100361,100538
118,97821,97939
8053,89467,97520
186,100774,100960
166,102641,102807
167,108449,108616
187,97054,97241
128,115034,115162
177,99928,100105
186,118385,118571
137,100567,100704
181,105791,105972
127,105594,105721
206,105333,105539
177,96494,96671
177,118906,119083
171,94936,95107
118,99584,99702
166,100902,101068
182,100542,100724
177,96420,96597
189,102927,103116
121,102041,102162
176,93079,93255
187,100690,100877
171,102533,102704
196,107585,107781
201,109963,110164
113,108876,108989
197,97472,97669
177,102405,102582
157,95177,95334
186,99398,99584
182,92872,93054
191,98223,98414
186,107064,107250
187,114969,115156
187,93541,93728
187,103545,103732
177,106513,106690
186,107732,107918
44101,122729,166830
7709,102268,109977
270,99806,100076
211,103667,103878
250,106538,106788
261,97496,97757
232,110380,110612
202,99569,99771
207,105014,105221
173,98557,98730
192,101781,101973
231,106955,107186
192,98144,98336
192,113879,114071
216,99432,99648
241,104424,104665
221,102056,102277
192,100739,100931
197,92404,92601
182,85781,85963
132,103530,103662
133,97889,98022
172,94007,94179
182,100149,100331
133,95205,95338
1499,91255,92754
260,97005,97265
280,114685,114965
241,107510,107751
192,106950,107142
192,104798,104990
221,112405,112626
207,104582,104789
251,108950,109201
152,100618,100770
251,105348,105599
202,105928,106130
192,115834,116026
202,95943,96145
231,103549,103780
182,98567,98749
182,100581,100763
133,91471,91604
201,94027,94228
220,104789,105009
128,108827,108955
182,93505,93687
182,99334,99516
187,89850,90037
165,102263,102428
192,94714,94906
191,98252,98443
182,93997,94179
212,96552,96764
155,100484,100639
182,98872,99054
182,97909,98091
211,97467,97678
191,94803,94994
182,97978,98160
124,95215,95339
182,88445,88627
192,103913,104105
192,94881,95073
202,100125,100327
183,87157,87340
207,89319,89526
192,98744,98936
240,115068,115308
231,114714,114945
192,94646,94838
191,97702,97893
182,103431,103613
192,98085,98277
182,97613,97795
192,100385,100577
211,107323,107534
182,99079,99261
182,100513,100695
172,91521,91693
177,109126,109303
138,112743,112881
31795,109835,141630
122073,85846,207919
79893,168211,248104
76457,80347,156804
309,103609,103918
579,125392,125971
55202,86494,141696
28904,116070,144974
206,109962,110168
118,109058,109176
688,117402,118090
295,103879,104174
266,107997,108263
202,113500,113702
202,115367,115569
227,121166,121393
118,98699,98817
265,130050,130315
128,98027,98155
206,99540,99746
732,109107,109839
206,111240,111446
246,108031,108277
235,118449,118684
255,115722,115977
196,129918,130114
216,105953,106169
216,99408,99624
188,106817,107005
231,94218,94449
162,103505,103667
147,112380,112527
167,101152,101319
230,97467,97697
162,105398,105560
191,95766,95957
168,103903,104071
132,101117,101249
182,95098,95280
211,87511,87722
128,98351,98479
192,106076,106268
133,94567,94700
2727,100720,103447
171,92936,93107
113,97849,97962
133,96670,96803
122,93663,93785
123,96660,96783
113,96680,96793
132,98901,99033
123,99928,100051
192,102662,102854
187,99481,99668
191,100744,100935
191,99874,100065
173,93554,93727
182,105545,105727
202,104169,104371
250,96700,96950
162,117191,117353
183,99088,99271
192,99746,99938
123,97338,97461
132,101486,101618
182,97869,98051
172,97073,97245
123,98979,99102
212,99736,99948
133,101397,101530
181,101476,101657
182,98822,99004
182,104189,104371
2707,96749,99456
191,95639,95830
133,96719,96852
209,101265,101474
187,97000,97187
128,100331,100459
128,96322,96450
187,112527,112714
196,47989,48185
197,95889,96086
177,126792,126969
197,101510,101707
177,108508,108685
187,96547,96734
177,104862,105039
147,91879,92026
167,105903,106070
187,99545,99732
177,97737,97914
127,100734,100861
207,96886,97093
157,97864,98021
157,99899,100056
186,95143,95329
186,114769,114955
187,104390,104577
186,97732,97918
127,89934,90061
187,97707,97894
167,100184,100351
181,105664,105845
186,101619,101805
2702,104666,107368
177,92803,92980
202,99953,100155
167,109422,109589
177,90513,90690
187,91830,92017
119,95790,95909
177,94788,94965
187,98827,99014
177,97569,97746
177,99162,99339
186,97761,97947
182,96189,96371
162,102862,103024
182,96817,96999
123,103982,104105
192,108434,108626
290,99747,100037
182,96386,96568
182,94862,95044
133,92189,92322
192,96660,96852
183,103854,104037
182,114478,114660
182,97260,97442
202,101839,102041
123,97093,97216
133,94321,94454
123,96159,96282
114,94262,94376
192,107889,108081
192,99066,99258
182,101166,101348
172,97358,97530
2600,97171,99771
201,93034,93235
172,81320,81492
123,93447,93570
191,94312,94503
113,96847,96960
182,96552,96734
173,95225,95398
133,96877,97010
153,97849,98002
123,95953,96076
123,95973,96096
133,97348,97481
560,103083,103643
187,107347,107534
178,102424,102602
178,97097,97275
128,131858,131986
162,110016,110178
187,96576,96763
619,107338,107957
177,100302,100479
206,96773,96979
158,99948,100106
207,99613,99820
197,101908,102105
197,93815,94012
255,116783,117038
236,103594,103830
202,97913,98115
192,96631,96823
148,92582,92730
148,96282,96430
226,97123,97349
251,98618,98869
3391,104228,107619
207,97196,97403
118,101687,101805
172,97270,97442
207,93780,93987
167,134591,134758
172,99466,99638
167,115180,115347
567,62556,63123
209,104117,104326
174,110987,111161
469,98546,99015
154,109543,109697
180,99833,100013
199,91539,91738
194,110761,110955
7624,91611,99235
9977,92762,102739
194,96216,96410
184,96982,97166
174,111273,111447
174,93209,93383
174,87342,87516
164,101327,101491
173,88924,89097
175,112913,113088
174,94142,94316
26729,103518,130247
2336,98408,100744
258,103921,104179
184,97150,97334
116,98201,98317
164,95676,95840
106,101680,101786
126,96717,96843
242,103715,103957
194,95656,95850
185,98574,98759
